100,78,64,59,68,76,91,83,91,76,72,90
100,79,64,54,76,100,82,83,91,100,82,81
100,90,57,59,82,91,82,82,91,91,76,82
100,80,51,65,74,83,82,82,91,91,82,90
100,80,56,61,91,92,91,83,76,91,82,90
100,80,44,60,76,100,76,83,82,91,82,90
100,81,50,59,74,100,76,76,83,100,82,91
100,73,51,91,54,92,82,76,83,91,82,90
100,81,65,73,69,91,83,91,76,100,82,91
100,81,58,53,61,91,83,100,76,100,65,91
100,72,65,67,62,100,91,76,83,92,73,91
100,63,73,54,82,100,76,83,83,91,82,100
100,72,56,62,74,100,76,83,76,91,82,91
90,72,56,50,66,91,83,76,92,82,82,91
90,63,50,50,54,91,76,91,76,91,82,91
80,54,52,61,68,91,76,91,76,82,63,91
100,71,65,82,62,76,83,100,69,82,56,91
100,70,57,66,68,77,77,83,83,82,82,82
100,71,44,82,83,83,64,83,83,82,72,100
89,80,50,60,68,76,76,91,76,82,81,91
89,63,44,56,76,76,91,76,76,91,80,90
100,71,46,68,83,83,91,91,76,91,81,90
89,63,60,63,76,91,76,91,76,82,91,100
100,72,53,69,68,76,91,91,83,91,90,90
89,63,58,76,83,91,91,82,76,91,80,100
89,56,53,62,76,91,91,83,83,82,81,90
80,63,60,65,76,91,83,91,76,82,72,90
79,63,51,82,76,91,91,91,76,91,80,90
77,,52,74,100,91,91,82,76,91,80,89
67,,66,91,100,100,91,100,76,82,81,79
77,,60,,76,,91,91,,100,,89