19,21.5,27.5,30.5,29.5,28,26,27.5,24.7,26.5,22.5,24.5
14.5,22.5,28.3,29,29,26,26.1,25.2,26,24.5,24,25
15,23,27.5,29.8,25.5,26,26.6,26.5,24,24.5,25.5,25
22,23.5,28.5,29.5,27.5,28.5,27,26.5,22.5,23.7,26,25.5
22.5,24,30,30.5,28.5,28.3,29.2,26.5,26,24.7,25,25
21.3,23.5,29.5,29.5,28.2,26.5,28,26.2,25.2,25.5,26.5,24.5
22,24.5,27.2,29,27.5,26.6,27,26.8,26.6,25,26.5,22.5
22.5,24.3,28.5,22,30,27.6,26.1,27.1,27,26,27.5,24.9
23,23,29,26.5,30.5,28.7,25.6,25.2,27.2,22,26.6,22.7
22,24.5,28.5,30.2,29.7,22.5,27,26.5,27.2,21,26.5,25
21.1,24,28.1,30.6,30.5,22.5,26.5,25.2,28.1,24.2,26.5,21.6
22.5,26,26.5,31,27,23.5,29.1,26.7,28,22.1,25.5,22.5
21.5,26.5,26.7,31.7,27.5,24.2,27,28.1,28.2,22,26.2,23.5
22,26.5,26.5,31.5,28,25,27.7,27,28,24.5,26,21
22.5,24.5,27.5,31.5,29,26,28,26.2,31,25.5,24.8,23
21,26.5,28.5,31.5,29.2,28.6,28,27.6,28.5,26.5,26.5,25.2
20.5,26,25.1,30,29,28,28.1,27.5,30,26.1,26,27.5
22.5,26,27.5,29.1,28.2,29,32,28.5,28.5,26.3,26.7,25.6
23,26.5,27.5,27,29,27.7,32.5,29.5,29.5,27.5,25.5,20
23.3,27,29.8,29.6,29.2,29,25.6,26,26,27.5,25,22.1
24,27,29.5,32,29.5,27.5,25.5,26.6,26.6,27.2,24.5,24.1
23.5,26.5,29.8,31.5,28.7,25.2,25,28.5,28.5,27.2,25.2,23.1
23.5,27,30,32,29.5,26.2,25,29,29,24.2,25.6,24.5
23.7,27,29.7,31.5,29,26.5,24.1,28.1,28.1,25.5,24,23.5
23.3,27.2,29.7,30.5,28.7,26.1,24.5,27.7,27.7,26,24.6,22.5
23.5,29,30,31,30,25.7,27,27.5,27.5,26.5,26,23.2
23.5,25.5,28.5,28,30,26.7,26.5,27.5,27.5,26.5,24.5,22.1
22.5,27.5,27.5,28.7,29,26,25.3,27,27,25.1,24.7,21.5
22.7,,29,27.2,22.5,26.5,27,27.1,27.1,26.5,25.6,22
22,,30,28,21,24,25.5,27,28,25.1,25.5,23
22,,30.5,,27.5,,23.5,,,20.7,,22