SE,NW,NW,NW,NW,SW,S,S,SW,S,SE,SW
NE,NE,W,SW,S,SE,S,W,W,S,NE,SW
W,SE,S,SW,NW,SE,S,SW,S,S,NE,SW
NW,S,SW,SW,NW,S,S,S,SW,NE,NE,SW
NW,NW,NW,SW,NE,NW,NW,SW,SW,SE,S,SW
SE,NW,S,NW,NW,SW,SW,SW,SW,SE,SE,NE
NE,NW,NW,NW,SW,SW,SW,SW,SW,NE,NW,SW
SE,NW,NE,SE,SW,SW,S,NE,S,SW,SW,NE
NW,NW,SE,NW,SW,S,S,SW,SW,SW,SE,SW
SE,NW,SW,SW,SW,S,SW,SW,SW,SE,SE,NW
SE,SE,SW,SW,NW,SW,SW,NW,SE,NW,NE,SE
SE,NW,SW,NW,NW,SW,S,SE,SW,SW,NE,NW
SE,NW,SW,NW,NW,S,SW,SW,SW,SW,W,NE
SE,S,NW,SW,SW,SW,SW,NW,SW,S,NW,NE
SW,NW,SW,NW,SW,SW,SW,NW,SW,SW,NW,NE
SE,NW,SW,SW,NW,S,S,NW,SW,SE,NW,NE
SE,SE,SW,SE,NW,SW,S,NW,NW,SW,NW,NE
SE,NW,SW,NE,SE,SW,SW,SE,NW,SW,NW,SW
SE,SW,NW,SW,SW,NW,SE,NE,SE,SW,W,S
NW,S,SW,NW,NW,SE,SW,SW,SE,NE,NW,SW
S,SW,SW,S,SW,SW,SW,SW,W,SE,SW,SW
SE,SW,NW,SW,SW,SW,SW,SW,NW,NE,NE,W
NE,W,SW,SE,S,S,S,SW,NW,NE,NW,SE
SE,NW,SW,NW,SE,SW,SW,SW,NW,S,SW,SW
NW,NW,NW,SW,SW,S,SW,SW,NW,SE,SE,W
NE,NW,SW,SW,SE,S,SW,NE,SW,NE,NE,NW
SW,W,SW,SW,SW,NW,SW,NW,NW,NE,NW,NW
SE,NW,NW,SW,SW,S,SW,SW,SE,NW,NE,S
SE,,SW,NW,SE,S,S,SW,SE,NE,SE,W
NW,,SW,NW,SE,SW,SW,SW,SE,NE,NE,W
SW,,SW,,SW,,SW,SW,,NE,,S